tx	gene
CPAR2_104490	CPAR2_104490
CPAR2_104500	CPAR2_104500
CPAR2_104530	CPAR2_104530
CPAR2_104540	CPAR2_104540
CPAR2_104550	CPAR2_104550
CPAR2_104560	CPAR2_104560
CPAR2_104570	CPAR2_104570
CPAR2_104580	CPAR2_104580
CPAR2_104590	CPAR2_104590
CPAR2_104600	CPAR2_104600
CPAR2_104610	CPAR2_104610
CPAR2_104620	CPAR2_104620
CPAR2_104660	CPAR2_104660
CPAR2_104670	CPAR2_104670
CPAR2_104680	CPAR2_104680
CPAR2_104690	CPAR2_104690
CPAR2_104700	CPAR2_104700
CPAR2_104710	CPAR2_104710
CPAR2_104720	CPAR2_104720
CPAR2_104730	CPAR2_104730
CPAR2_104740	CPAR2_104740
CPAR2_104750	CPAR2_104750
CPAR2_104760	CPAR2_104760
CPAR2_104770	CPAR2_104770
CPAR2_104780	CPAR2_104780
CPAR2_104790	CPAR2_104790
CPAR2_104800	CPAR2_104800
CPAR2_104810	CPAR2_104810
CPAR2_104820	CPAR2_104820
CPAR2_104830	CPAR2_104830
CPAR2_104840	CPAR2_104840
CPAR2_104850	CPAR2_104850
CPAR2_104860	CPAR2_104860
CPAR2_104870	CPAR2_104870
CPAR2_104880	CPAR2_104880
CPAR2_104890	CPAR2_104890
CPAR2_104900	CPAR2_104900
CPAR2_104910	CPAR2_104910
CPAR2_104920	CPAR2_104920
CPAR2_104930	CPAR2_104930
CPAR2_104940	CPAR2_104940
CPAR2_104950	CPAR2_104950
CPAR2_104960	CPAR2_104960
CPAR2_104970	CPAR2_104970
CPAR2_104980	CPAR2_104980
CPAR2_104990	CPAR2_104990
CPAR2_105000	CPAR2_105000
CPAR2_105010	CPAR2_105010
CPAR2_105020	CPAR2_105020
CPAR2_105030	CPAR2_105030
CPAR2_105040	CPAR2_105040
CPAR2_105050	CPAR2_105050
CPAR2_105060	CPAR2_105060
CPAR2_105070	CPAR2_105070
CPAR2_105080	CPAR2_105080
CPAR2_105100	CPAR2_105100
CPAR2_105110	CPAR2_105110
CPAR2_105120	CPAR2_105120
CPAR2_105130	CPAR2_105130
CPAR2_105140	CPAR2_105140
CPAR2_105150	CPAR2_105150
CPAR2_105170	CPAR2_105170
CPAR2_105180	CPAR2_105180
CPAR2_105190	CPAR2_105190
CPAR2_105210	CPAR2_105210
CPAR2_105220	CPAR2_105220
CPAR2_105230	CPAR2_105230
CPAR2_105240	CPAR2_105240
CPAR2_105250	CPAR2_105250
CPAR2_105260	CPAR2_105260
CPAR2_105270	CPAR2_105270
CPAR2_105280	CPAR2_105280
CPAR2_105290	CPAR2_105290
CPAR2_105300	CPAR2_105300
CPAR2_105310	CPAR2_105310
CPAR2_105320	CPAR2_105320
CPAR2_105340	CPAR2_105340
CPAR2_105350	CPAR2_105350
CPAR2_105370	CPAR2_105370
CPAR2_105390	CPAR2_105390
CPAR2_105400	CPAR2_105400
CPAR2_105410	CPAR2_105410
CPAR2_105420	CPAR2_105420
CPAR2_105430	CPAR2_105430
CPAR2_105450	CPAR2_105450
CPAR2_105460	CPAR2_105460
CPAR2_105470	CPAR2_105470
CPAR2_105480	CPAR2_105480
CPAR2_105490	CPAR2_105490
CPAR2_105500	CPAR2_105500
CPAR2_105510	CPAR2_105510
CPAR2_105520	CPAR2_105520
CPAR2_105530	CPAR2_105530
CPAR2_105550	CPAR2_105550
CPAR2_105560	CPAR2_105560
CPAR2_105570	CPAR2_105570
CPAR2_105580	CPAR2_105580
CPAR2_105590	CPAR2_105590
CPAR2_105600	CPAR2_105600
CPAR2_105610	CPAR2_105610
CPAR2_105620	CPAR2_105620
CPAR2_105630	CPAR2_105630
CPAR2_105650	CPAR2_105650
