baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CPAR2_100540	587.300731551495	-0.829579761853784	0.667842687588595	-1.24217840109799	0.214170746887026	0.589412055482476
CPAR2_100565	76.2735128812668	2.12728042279066	0.810263150597393	2.62541918785552	0.00865423494855968	0.115085588128586
CPAR2_100580	113.419708525813	0.1607380223469	0.651932367244472	0.246556284705257	0.805251639902893	0.947395413581366
CPAR2_100590	905.484139239612	1.13406104120877	0.657129250018493	1.72578079757803	0.0843868556938989	0.399916835095849
CPAR2_100600	1249.32684409877	0.62716128118176	0.491932779318629	1.27489223639546	0.202347387377935	0.579876764172569
CPAR2_100610	1898.61399534956	0.279533068317248	0.418307995192697	0.668247013037556	0.50397593021441	0.815471257344017
CPAR2_100620	3010.67231872633	-0.376369645184849	0.34689138004999	-1.08497837314554	0.277931233985073	0.653343062418674
CPAR2_100630	369.218129549449	-1.45466843685595	0.434688193450563	-3.34646410639489	0.000818492754621921	0.0246287428273283
CPAR2_100650	1116.29759655809	-0.110638094917246	0.572951640777428	-0.193101977624364	0.846879103886374	0.959002748563237
CPAR2_100660	707.335036032414	-0.785361344601204	0.404179276091335	-1.94310146773515	0.052003899732105	0.319900836406237
CPAR2_100670	1361.60528401335	0.121628158075835	0.802345063572898	0.151590834913618	0.879509662541909	0.967246128000444
CPAR2_100680	6116.0488793354	0.622913267678479	0.629817193267145	0.989038207177463	0.32264444860244	0.690334018980733
CPAR2_100690	1250.9913130519	0.338487106492038	0.354976546027522	0.953547805566272	0.340312586640613	0.70031038832687
CPAR2_100700	1063.74720690592	-0.68742396186142	1.82373647159683	-0.376931630511027	0.706224414430968	0.907628182857619
CPAR2_100710	585.356009103213	1.67873243071948	0.730166162104598	2.29911014484809	0.0214986855830977	0.193226216726135
CPAR2_100720	1202.08651476373	0.478010859778252	0.608616859502251	0.78540522221022	0.432216019894378	0.771636645994535
CPAR2_100730	827.190381904172	0.45949604544768	0.668437063411361	0.687418562792805	0.49181900332675	0.808635918899643
CPAR2_100740	637.679072565669	1.00859354488299	0.815080338445588	1.23741611385995	0.215932639536191	0.590179146493308
CPAR2_100760	1213.09080419928	0.95553046971439	0.407023666311765	2.34760420290276	0.0188945872283194	0.178747089404272
CPAR2_100790	1918.41954520436	0.224393376722449	0.581142609888976	0.386124460509475	0.699404495081482	0.90406848262795
CPAR2_100800	925.408304928071	-0.514866035777487	0.592427083178727	-0.869079166696636	0.384803830906999	0.737848420491539
CPAR2_100810	2303.18778473961	-0.76706599782272	0.581452518940156	-1.31922379357973	0.187094305977655	0.56776188235625
CPAR2_100820	3725.8153635245	-1.36368850115849	0.712720825929112	-1.91335576504414	0.0557025232289676	0.330052317353135
CPAR2_100830	10112.9394628713	-2.24563719633184	0.527937169889355	-4.25360691463055	2.10354432096104e-05	0.00154517704164712
